epoch,loss,Accuracy,F1_Macro,F1_Weighted,MCC,FPR,FNR,TP,TN,FP,FN
31,0.001881,0.9862677562414174,0.9861127085242974,0.9862676681523798,0.9722254243163645,0.012366292012814247,0.015420756774897224,58676,72757,911,919
32,0.001606,0.9859525899912204,0.9858009650614368,0.985955915147621,0.9716122737917899,0.014755389042732258,0.013172245993791425,58810,72581,1087,785
33,0.00137,0.9865078829082341,0.9863484610965522,0.9865042518857892,0.9727091549531766,0.009977194982896237,0.01783706686802584,58532,72933,735,1063
34,0.001273,0.9865979304082904,0.9864459578253908,0.9865975211560652,0.9728920797015871,0.011864038659933757,0.015303297256481248,58683,72794,874,912
35,0.000883,0.9866729699916706,0.9865214147607484,0.9866723479406202,0.9730432117548302,0.011660422435793018,0.015387196912492658,58678,72809,859,917
36,0.000887,0.9867179937416988,0.9865643445189816,0.9867160746088911,0.973132290673552,0.010805234294401911,0.016343652991022736,58621,72872,796,974
37,0.000967,0.9866954818666847,0.9865443342032124,0.9866949360913493,0.9730889639444661,0.011687571265678449,0.015303297256481248,58683,72807,861,912
38,0.000815,0.986808041241755,0.9866547396188328,0.9868057872796453,0.9733144932315365,0.01050659716566216,0.016511452303045557,58611,72894,774,984
39,0.000799,0.9868305531167691,0.9866795654123884,0.9868293292948066,0.973360634029847,0.011131020253027094,0.015689235674133738,58660,72848,820,935
40,0.000838,0.9868305531167691,0.9866776648127309,0.9868283790956343,0.9733600149275129,0.010533745995547591,0.016427552647034147,58616,72892,776,979
